Cruise_Number: IML2018051
Original_Filename: iml2018051001.cnv
Latitude: 48.75017
Longitude: -64.08133
GMT_Time: 14-OCT-2018 18:30:42.00
Event_Comments: Station 8.7
Quality_Comments: QCFF values are derived from tests of GTSPP stage 2
Quality_Comments: A quality flag modified by hand has a QCFF value of 1
Quality_Comments: Mean(AutoSAL-CTD) = 0.017092 ±0.0096407 (58 data)
Quality_Comments: O2 sensor calibrated with Winkler titrations (n=77, r2=0.998); orig Soc=0.33043, voffset=-0.4404
Quality_Comments: pH calibration to come
   CNTR_01    PRES_01 Q    TE90_01 Q    CNDC_01    OXV__01    PHPH_01 Q    FLOR_01    TRB__01    PSAR_01    SPAR_01    ALT__01    DPDT_01    DEPH_01 Q    PSAL_01 Q    SIGT_01 Q    DOXY_01 Q    OSAT_01 QCFF_01 
    (none)   decibars    degrees C       mhos/m      volts  NBS scale      mg/m**3        NTU    uE/s/m²    uE/s/m²          m metres/sec     metres          psu      kg/m**3         ml/l            %   
      5396      1.500 1     7.2927 1   3.017578     3.6179      8.262 1     0.4663      1.023   1490.900   4622.900   4.990000     -0.058      1.487 1    29.1812 1    22.8017 1      6.959 1   99.88100 0 
      5467      2.000 1     7.2921 1   3.017576     3.6133      8.262 1     0.4247      1.027   1407.000   4625.500  11.410000      0.159      1.983 1    29.1815 1    22.8020 1      6.954 1   99.80600 0 
      5491      2.500 1     7.2922 1   3.017616     3.6112      8.261 1     0.4256      1.031   1178.600   4624.900  35.400000      0.365      2.479 1    29.1815 1    22.8020 1      6.961 1   99.90900 0 
      5509      3.000 1     7.2921 1   3.017629     3.6096      8.261 1     0.4273      1.034    956.400   4624.600  39.110000      0.541      2.975 1    29.1816 1    22.8021 1      6.963 1   99.94200 0 
      5528      3.500 1     7.2922 1   3.017655     3.6088      8.260 1     0.4380      1.035    755.870   4625.400  46.650000      0.639      3.470 1    29.1816 1    22.8021 1      6.964 1   99.95400 0 
      5547      4.000 1     7.2929 1   3.017745     3.6091      8.261 1     0.4561      1.038    628.170   4625.800  70.610000      0.635      3.966 1    29.1817 1    22.8021 1      6.966 1   99.98700 0 
      5565      4.500 1     7.2931 1   3.017786     3.6096      8.260 1     0.4623      1.040    550.450   4626.000  71.230000      0.640      4.462 1    29.1817 1    22.8021 1      6.968 1  100.02100 0 
      5582      5.000 1     7.2928 1   3.017788     3.6098      8.260 1     0.4602      1.041    493.920   4625.900  52.440000      0.676      4.958 1    29.1819 1    22.8022 1      6.969 1  100.02600 0 
      5599      5.500 1     7.2944 1   3.017934     3.6102      8.260 1     0.4612      1.037    434.220   4625.600  36.760000      0.695      5.453 1    29.1819 1    22.8020 1      6.968 1  100.02100 0 
